GEO,REF_DATE,National Occupational Classification (NOC),VALUE
Alberta,2019-01,Administrative and financial supervisors and specialized administrative occupations,172.6
Alberta,2019-01,Administrative and financial support and supply chain logistics occupations,189.0
Alberta,2019-01,Administrative occupations and transportation logistics occupations,140.2
Alberta,2019-01,Assisting occupations in education and in legal and public protection,48.5
Alberta,2019-01,Assisting occupations in support of health services,97.1
Alberta,2019-01,"Business, finance and administration occupations, except management",671.0
Alberta,2019-01,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",25.3
Alberta,2019-01,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",111.8
Alberta,2019-01,General trades,225.7
Alberta,2019-01,"Health occupations, except management",339.4
Alberta,2019-01,Health treating and consultation services professionals,41.8
Alberta,2019-01,"Helpers and labourers and other transport drivers, operators and labourers",116.9
Alberta,2019-01,"Labourers in processing, manufacturing and utilities",22.2
Alberta,2019-01,Legislative and senior management occupations,12.9
Alberta,2019-01,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",61.0
Alberta,2019-01,"Mail and message distribution, other transport equipment operators and related maintenance workers",29.700000000000003
Alberta,2019-01,Management occupations,430.29999999999995
Alberta,2019-01,Middle management occupations in retail and wholesale trade and customer services,118.3
Alberta,2019-01,"Middle management occupations in trades, transportation, production and utilities",188.9
Alberta,2019-01,"Natural and applied sciences and related occupations, except management",356.7
Alberta,2019-01,"Natural resources, agriculture and related production occupations, except management",162.6
Alberta,2019-01,Nursing and allied health professionals,79.69999999999999
Alberta,2019-01,"Occupations in art, culture and sport",20.3
Alberta,2019-01,"Occupations in art, culture, recreation and sport, except management",106.4
Alberta,2019-01,"Occupations in education, law and social, community and government services, except management",477.8
Alberta,2019-01,Occupations in front-line public protection services,26.7
Alberta,2019-01,"Occupations in manufacturing and utilities, except management",153.5
Alberta,2019-01,Occupations in sales and services,156.3
Alberta,2019-01,"Paraprofessional occupations in legal, social, community and education services",81.4
Alberta,2019-01,Professional occupations in applied sciences (except engineering),84.7
Alberta,2019-01,Professional occupations in art and culture,30.9
Alberta,2019-01,Professional occupations in business,78.5
Alberta,2019-01,Professional occupations in education services,164.6
Alberta,2019-01,Professional occupations in engineering,73.9
Alberta,2019-01,Professional occupations in finance,83.4
Alberta,2019-01,Professional occupations in finance and business,167.7
Alberta,2019-01,Professional occupations in government services,37.599999999999994
Alberta,2019-01,Professional occupations in health,148.8
Alberta,2019-01,Professional occupations in law,28.200000000000003
Alberta,2019-01,"Professional occupations in law, education, social, community and government services",284.2
Alberta,2019-01,Professional occupations in natural and applied sciences,183.5
Alberta,2019-01,Professional occupations in natural sciences,17.7
Alberta,2019-01,Professional occupations in social and community services,46.4
